ds,y
2017-01-01,38790
2017-01-02,39140
2017-01-03,39000
2017-01-04,39030
2017-01-06,39040
2017-01-07,39450
2017-01-08,39650
2017-01-10,39790
2017-01-11,39790
2017-01-13,39510
2017-01-14,39440
2017-01-15,39140
2017-01-16,38340
2017-01-17,38200
2017-01-18,38240
2017-01-20,38080
2017-01-21,38330
2017-01-22,38500
2017-01-23,38540
2017-01-24,38600
2017-01-25,38580
2017-01-27,38590
2017-01-28,38510
2017-01-29,38230
2017-01-30,38210
2017-01-31,38260
2017-02-01,38240
2017-02-03,38430
2017-02-04,38520
2017-02-05,38470
2017-02-06,38360
2017-02-07,38260
2017-02-08,38260
2017-02-10,38290
2017-02-11,38230
2017-02-12,38140
2017-02-13,38080
2017-02-14,38150
2017-02-15,38110
2017-02-17,38020
2017-02-18,37930
2017-02-19,37900
2017-02-20,37870
2017-02-21,37800
2017-02-22,37800
2017-02-24,37780
2017-02-25,37810
2017-02-26,37790
2017-02-27,37790
2017-02-28,37840
2017-03-01,37830
2017-03-03,37810
2017-03-04,37740
2017-03-05,37610
2017-03-06,37460
2017-03-07,37240
2017-03-08,37490
2017-03-10,37590
2017-03-11,37490
2017-03-12,37500
2017-03-13,37630
2017-03-14,37950
2017-03-15,37570
2017-03-17,37480
2017-03-20,37480
2017-03-22,37480
2017-03-24,37670
2017-03-25,37540
2017-03-26,37640
2017-03-27,37660
2017-03-28,37520
2017-03-29,37400
2017-04-02,37690
2017-04-03,37530
2017-04-04,37650
2017-04-05,37610
2017-04-07,37610
2017-04-08,37630
2017-04-09,37630
2017-04-11,37630
2017-04-12,37590
2017-04-14,37600
2017-04-15,37550
2017-04-16,37550
2017-04-17,37500
2017-04-18,37490
2017-04-19,37480
2017-04-21,37490
2017-04-22,37530
2017-04-23,37530
2017-04-25,37600
2017-04-26,37620
2017-04-28,37730
2017-04-29,37730
2017-04-30,37670
2017-05-01,37620
2017-05-02,37650
2017-05-03,37700
2017-05-05,37630
2017-05-06,37590
2017-05-07,37570
2017-05-08,37540
2017-05-09,37570
2017-05-10,37590
2017-05-12,37590
2017-05-13,37560
2017-05-14,37540
2017-05-15,37550
2017-05-16,37710
2017-05-17,37670
2017-05-19,37410
2017-05-20,37400
2017-05-21,37350
2017-05-22,37530
2017-05-23,37480
2017-05-24,37430
2017-05-26,37430
2017-05-27,37370
2017-05-28,37380
2017-05-29,37360
2017-05-30,37340
2017-05-31,37340
2017-06-02,37320
2017-06-03,37330
2017-06-05,37300
2017-06-06,37380
2017-06-07,37370
2017-06-09,37360
2017-06-10,37350
2017-06-11,37300
2017-06-12,37270
2017-06-13,37300
2017-06-14,37310
2017-06-16,37320
2017-06-17,37500
2017-06-18,37500
2017-06-19,37450
2017-06-20,37420
2017-06-21,37440
2017-06-23,37570
2017-06-24,37540
2017-06-26,37540
2017-06-27,37590
2017-06-28,37680
2017-06-30,37890
2017-07-01,37840
2017-07-02,37790
2017-07-03,37800
2017-07-04,37880
2017-07-05,37880
2017-07-07,37890
2017-07-08,37860
2017-07-09,37880
2017-07-10,37930
2017-07-11,37900
2017-07-12,37850
2017-07-14,37820
2017-07-15,37800
2017-07-16,37790
2017-07-17,37780
2017-07-18,37770
2017-07-19,37820
2017-07-21,37760
2017-07-22,37750
2017-07-23,37720
2017-07-24,37790
2017-07-25,38000
2017-07-26,38010
2017-07-28,38070
2017-07-29,38120
2017-07-30,38130
2017-07-31,38190
2017-08-01,38210
2017-08-02,38260
2017-08-05,38210
2017-08-06,38150
2017-08-07,38110
2017-08-08,38110
2017-08-09,38150
2017-08-11,38130
2017-08-12,38120
2017-08-13,38130
2017-08-14,38170
2017-08-15,38200
2017-08-16,38200
2017-08-18,38240
2017-08-19,38280
2017-08-20,38300
2017-08-21,38300
2017-08-22,38330
2017-08-23,38380
2017-08-25,38520
2017-08-26,38590
2017-08-27,38580
2017-08-28,38630
2017-08-29,38720
2017-08-30,38740
2017-09-01,38820
2017-09-02,38900
2017-09-03,38790
2017-09-04,38820
2017-09-05,38940
