t,c,o,h,l
2011-11-26,13700,13700,13700,13700
2011-11-27,13440,13440,13440,13440
2011-11-28,13350,13350,13350,13350
2011-11-29,13400,13400,13400,13400
2011-11-30,13500,13500,13500,13500
2011-12-02,13650,13650,13650,13650
2011-12-03,13610,13610,13610,13610
2011-12-06,13650,13650,13650,13650
2011-12-07,13550,13550,13550,13550
2011-12-09,13450,13450,13450,13450
2011-12-10,13450,13450,13450,13450
2011-12-11,13530,13530,13530,13530
2011-12-12,13630,13630,13630,13630
2011-12-13,13770,13770,13770,13770
2011-12-14,13710,13710,13710,13710
2011-12-16,13840,13840,13840,13840
2011-12-17,14080,14080,14080,14080
2011-12-18,14500,14500,14500,14500
2011-12-19,15300,15300,15300,15300
2011-12-20,15150,15150,15150,15150
2011-12-21,14230,14230,14230,14230
2011-12-23,14350,14350,14350,14350
2011-12-24,14800,14800,14800,14800
2011-12-25,15250,15250,15250,15250
2011-12-26,15150,15150,15150,15150
2011-12-27,15200,15200,15200,15200
2011-12-28,15220,15220,15220,15220
2011-12-30,15550,15550,15550,15550
2011-12-31,15900,15900,15900,15900
2012-01-01,17400,17400,17400,17400
2012-01-02,16200,16200,16200,16200
2012-01-03,15800,15800,15800,15800
2012-01-04,15980,15980,15980,15980
2012-01-06,15970,15970,15970,15970
2012-01-07,16550,16550,16550,16550
2012-01-08,16900,16900,16900,16900
2012-01-09,16900,16900,16900,16900
2012-01-10,16920,16920,16920,16920
2012-01-11,16950,16950,16950,16950
2012-01-15,16900,16900,16900,16900
2012-01-16,17400,17400,17400,17400
2012-01-17,18200,18200,18200,18200
2012-01-18,18200,18200,18200,18200
2012-01-20,19000,19000,19000,19000
2012-01-22,21000,21000,21000,21000
2012-01-24,19000,19000,19000,19000
2012-01-25,17000,17000,17000,17000
2012-01-27,17700,17700,17700,17700
2012-01-28,18300,18300,18300,18300
2012-01-29,18300,18300,18300,18300
2012-01-31,18300,18300,18300,18300
2012-02-03,17750,17750,17750,17750
2012-02-04,18500,18500,18500,18500
2012-02-05,18800,18800,18800,18800
2012-02-06,18900,18900,18900,18900
2012-02-07,19200,19200,19200,19200
2012-02-11,19400,19400,19400,19400
2012-02-12,19000,19000,19000,19000
2012-02-13,19350,19350,19350,19350
2012-02-14,19500,19500,19500,19500
2012-02-15,19600,19600,19600,19600
2012-02-17,19400,19400,19400,19400
2012-02-18,19200,19200,19200,19200
2012-02-19,19400,19400,19400,19400
2012-02-20,19450,19450,19450,19450
2012-02-21,19350,19350,19350,19350
2012-02-22,19350,19350,19350,19350
2012-02-25,19300,19300,19300,19300
2012-02-26,18700,18700,18700,18700
2012-02-27,18500,18500,18500,18500
2012-02-28,19200,19200,19200,19200
2012-02-29,19250,19250,19250,19250
2012-03-02,19250,19250,19250,19250
2012-03-03,19000,19000,19000,19000
2012-03-04,19100,19100,19100,19100
2012-03-05,18950,18950,18950,18950
2012-03-06,18850,18850,18850,18850
2012-03-07,19000,19000,19000,19000
2012-03-09,18800,18800,18800,18800
2012-03-10,18700,18700,18700,18700
2012-03-11,18850,18850,18850,18850
2012-03-12,18800,18800,18800,18800
2012-03-13,18600,18600,18600,18600
2012-03-14,18500,18500,18500,18500
2012-03-16,19250,19250,19250,19250
2012-03-17,19150,19150,19150,19150
2012-03-24,18900,18900,18900,18900
2012-03-25,19000,19000,19000,19000
2012-03-27,19200,19200,19200,19200
2012-03-28,19200,19200,19200,19200
2012-04-01,19120,19120,19120,19120
2012-04-02,19000,19000,19000,19000
2012-04-03,18950,18950,18950,18950
2012-04-04,19000,19000,19000,19000
2012-04-06,19100,19100,19100,19100
2012-04-07,19010,19010,19010,19010
2012-04-08,19000,19000,19000,19000
2012-04-09,18650,18650,18650,18650
2012-04-10,18800,18800,18800,18800
2012-04-11,18840,18840,18840,18840
2012-04-13,18800,18800,18800,18800
2012-04-14,17300,17300,17300,17300
2012-04-15,17800,17800,17800,17800
2012-04-16,18000,18000,18000,18000
2012-04-17,18240,18240,18240,18240
2012-04-18,18180,18180,18180,18180
2012-04-20,18030,18030,18030,18030
2012-04-21,17950,17950,17950,17950
2012-04-22,17790,17790,17790,17790
2012-04-23,17580,17580,17580,17580
2012-04-25,17480,17480,17480,17480
2012-04-27,16650,16650,16650,16650
2012-04-28,17340,17340,17340,17340
2012-04-29,17250,17250,17250,17250
2012-04-30,17100,17100,17100,17100
2012-05-01,17090,17090,17090,17090
2012-05-02,17050,17050,17050,17050
2012-05-04,16780,16780,16780,16780
2012-05-05,16720,16720,16720,16720
2012-05-06,16640,16640,16640,16640
2012-05-07,16550,16550,16550,16550
2012-05-08,16500,16500,16500,16500
2012-05-09,16190,16190,16190,16190
2012-05-11,15890,15890,15890,15890
2012-05-12,15750,15750,15750,15750
2012-05-13,16250,16250,16250,16250
2012-05-14,16690,16690,16690,16690
2012-05-15,16380,16380,16380,16380
2012-05-16,16650,16650,16650,16650
2012-05-18,16850,16850,16850,16850
2012-05-19,16760,16760,16760,16760
2012-05-20,16850,16850,16850,16850
2012-05-21,16690,16690,16690,16690
2012-05-22,16710,16710,16710,16710
2012-05-23,17600,17600,17600,17600
2012-05-25,17670,17670,17670,17670
2012-05-26,17200,17200,17200,17200
2012-05-27,17300,17300,17300,17300
2012-05-28,17600,17600,17600,17600
2012-05-29,17680,17680,17680,17680
2012-05-30,17700,17700,17700,17700
2012-06-01,17770,17770,17770,17770
2012-06-04,17680,17680,17680,17680
2012-06-05,17700,17700,17700,17700
2012-06-06,17850,17850,17850,17850
2012-06-08,18250,18250,18250,18250
2012-06-09,18210,18210,18210,18210
2012-06-10,18150,18150,18150,18150
2012-06-11,17900,17900,17900,17900
2012-06-12,17600,17600,17600,17600
2012-06-13,17800,17800,17800,17800
2012-06-15,17850,17850,17850,17850
2012-06-16,18000,18000,18000,18000
2012-06-18,18100,18100,18100,18100
2012-06-19,18280,18280,18280,18280
2012-06-20,18300,18300,18300,18300
2012-06-22,18800,18800,18800,18800
2012-06-23,19050,19050,19050,19050
2012-06-24,18950,18950,18950,18950
2012-06-25,19200,19200,19200,19200
2012-06-26,19400,19400,19400,19400
2012-06-27,20150,20150,20150,20150
2012-06-28,20150,20150,20150,20150
2012-06-29,19940,19800,20000,19520
2012-06-30,19530,19890,19890,19520
2012-07-01,19430,19460,19560,19280
2012-07-02,19760,19410,19760,19400
2012-07-03,19680,19800,19830,19610
2012-07-06,19460,19580,19600,19410
2012-07-07,19100,19390,19390,19040
2012-07-08,19130,19020,19160,18810
2012-07-09,19360,19200,19460,19200
2012-07-10,19140,19330,19340,19100
2012-07-11,19220,19170,19240,19150
2012-07-13,19150,19350,19350,19150
2012-07-14,19020,19130,19130,19010
2012-07-15,19200,18900,19200,18900
2012-07-16,19090,19280,19280,19090
2012-07-17,19150,19040,19220,19030
2012-07-18,19100,19140,19140,19080
2012-07-20,19090,19080,19100,19030
2012-07-21,18990,19070,19080,18980
2012-07-22,19080,18960,19090,18960
2012-07-23,19210,19100,19230,19100
2012-07-24,19290,19200,19340,19200
2012-07-25,19570,19350,19600,19350
2012-07-27,19700,19600,19740,19600
2012-07-28,19470,19650,19650,19420
2012-07-29,19680,19500,19680,19500
2012-07-30,19710,19710,19710,19630
2012-07-31,20070,19820,20080,19800
2012-08-01,20190,20080,20250,20080
2012-08-03,20080,20070,20170,20020
2012-08-04,20440,20040,20480,20040
2012-08-05,21460,20700,21550,20700
2012-08-06,21980,21800,22100,21570
2012-08-07,20850,21970,21970,20850
2012-08-08,20950,20700,20950,20570
2012-08-10,21300,20800,21350,20800
2012-08-11,21480,21390,21520,21370
2012-08-12,21300,21400,21410,21290
2012-08-13,21210,21290,21310,21210
